name,type,metric,pos,num
Van_der_Waerden,theorems_pos,eigenvector,23,2
Van_der_Waerden,theorems_pos,eigenvector,21,2
Van_der_Waerden,theorems_pos,in_degree,22,2
Van_der_Waerden,theorems_pos,in_degree,15,2
Van_der_Waerden,theorems_pos,closeness,23,2
Van_der_Waerden,theorems_pos,closeness,21,2
Van_der_Waerden,theorems_pos,betweenness,1,2
Van_der_Waerden,theorems_pos,betweenness,6,2
Van_der_Waerden,theorems_pos,clustering,27,2
Van_der_Waerden,theorems_pos,clustering,26,2
Van_der_Waerden,theorems,eigenvector,23,2
Van_der_Waerden,theorems,eigenvector,21,2
Van_der_Waerden,theorems,in_degree,22,2
Van_der_Waerden,theorems,in_degree,15,2
Van_der_Waerden,theorems,closeness,23,2
Van_der_Waerden,theorems,closeness,21,2
Van_der_Waerden,theorems,betweenness,1,2
Van_der_Waerden,theorems,betweenness,6,2
Van_der_Waerden,theorems,clustering,27,2
Van_der_Waerden,theorems,clustering,26,2
Van_der_Waerden,theorems_thm,eigenvector,23,2
Van_der_Waerden,theorems_thm,eigenvector,21,2
Van_der_Waerden,theorems_thm,in_degree,21,2
Van_der_Waerden,theorems_thm,in_degree,14,2
Van_der_Waerden,theorems_thm,closeness,23,2
Van_der_Waerden,theorems_thm,closeness,21,2
Van_der_Waerden,theorems_thm,betweenness,1,2
Van_der_Waerden,theorems_thm,betweenness,6,2
Van_der_Waerden,theorems_thm,clustering,27,2
Van_der_Waerden,theorems_thm,clustering,14,2
Van_der_Waerden,theorems_thm_pos,eigenvector,23,2
Van_der_Waerden,theorems_thm_pos,eigenvector,21,2
Van_der_Waerden,theorems_thm_pos,in_degree,21,2
Van_der_Waerden,theorems_thm_pos,in_degree,14,2
Van_der_Waerden,theorems_thm_pos,closeness,23,2
Van_der_Waerden,theorems_thm_pos,closeness,21,2
Van_der_Waerden,theorems_thm_pos,betweenness,1,2
Van_der_Waerden,theorems_thm_pos,betweenness,6,2
Van_der_Waerden,theorems_thm_pos,clustering,27,2
Van_der_Waerden,theorems_thm_pos,clustering,14,2
Van_der_Waerden,concept_pos,eigenvector,0,5
Van_der_Waerden,concept_pos,eigenvector,5,5
Van_der_Waerden,concept_pos,eigenvector,4,5
Van_der_Waerden,concept_pos,eigenvector,9,5
Van_der_Waerden,concept_pos,eigenvector,7,5
Van_der_Waerden,concept_pos,in_degree,0,5
Van_der_Waerden,concept_pos,in_degree,7,5
Van_der_Waerden,concept_pos,in_degree,5,5
Van_der_Waerden,concept_pos,in_degree,10,5
Van_der_Waerden,concept_pos,in_degree,6,5
Van_der_Waerden,concept_pos,closeness,0,5
Van_der_Waerden,concept_pos,closeness,4,5
Van_der_Waerden,concept_pos,closeness,6,5
Van_der_Waerden,concept_pos,closeness,10,5
Van_der_Waerden,concept_pos,closeness,7,5
Van_der_Waerden,concept_pos,betweenness,9,5
Van_der_Waerden,concept_pos,betweenness,10,5
Van_der_Waerden,concept_pos,betweenness,1,5
Van_der_Waerden,concept_pos,betweenness,6,5
Van_der_Waerden,concept_pos,betweenness,2,5
Van_der_Waerden,concept_pos,clustering,8,5
Van_der_Waerden,concept_pos,clustering,5,5
Van_der_Waerden,concept_pos,clustering,4,5
Van_der_Waerden,concept_pos,clustering,0,5
Van_der_Waerden,concept_pos,clustering,1,5
Van_der_Waerden,concept,eigenvector,0,5
Van_der_Waerden,concept,eigenvector,5,5
Van_der_Waerden,concept,eigenvector,4,5
Van_der_Waerden,concept,eigenvector,9,5
Van_der_Waerden,concept,eigenvector,7,5
Van_der_Waerden,concept,in_degree,0,5
Van_der_Waerden,concept,in_degree,7,5
Van_der_Waerden,concept,in_degree,5,5
Van_der_Waerden,concept,in_degree,10,5
Van_der_Waerden,concept,in_degree,6,5
Van_der_Waerden,concept,closeness,0,5
Van_der_Waerden,concept,closeness,4,5
Van_der_Waerden,concept,closeness,6,5
Van_der_Waerden,concept,closeness,10,5
Van_der_Waerden,concept,closeness,7,5
Van_der_Waerden,concept,betweenness,9,5
Van_der_Waerden,concept,betweenness,10,5
Van_der_Waerden,concept,betweenness,1,5
Van_der_Waerden,concept,betweenness,6,5
Van_der_Waerden,concept,betweenness,2,5
Van_der_Waerden,concept,clustering,8,5
Van_der_Waerden,concept,clustering,5,5
Van_der_Waerden,concept,clustering,4,5
Van_der_Waerden,concept,clustering,0,5
Van_der_Waerden,concept,clustering,1,5
Simplicial_complexes_and_boolean_functions,concept_pos,eigenvector,14,5
Simplicial_complexes_and_boolean_functions,concept_pos,eigenvector,9,5
Simplicial_complexes_and_boolean_functions,concept_pos,eigenvector,17,5
Simplicial_complexes_and_boolean_functions,concept_pos,eigenvector,18,5
Simplicial_complexes_and_boolean_functions,concept_pos,eigenvector,31,5
Simplicial_complexes_and_boolean_functions,concept_pos,in_degree,7,5
Simplicial_complexes_and_boolean_functions,concept_pos,in_degree,1,5
Simplicial_complexes_and_boolean_functions,concept_pos,in_degree,10,5
Simplicial_complexes_and_boolean_functions,concept_pos,in_degree,18,5
Simplicial_complexes_and_boolean_functions,concept_pos,in_degree,28,5
Simplicial_complexes_and_boolean_functions,concept_pos,closeness,10,5
Simplicial_complexes_and_boolean_functions,concept_pos,closeness,2,5
Simplicial_complexes_and_boolean_functions,concept_pos,closeness,12,5
Simplicial_complexes_and_boolean_functions,concept_pos,closeness,17,5
Simplicial_complexes_and_boolean_functions,concept_pos,closeness,30,5
Simplicial_complexes_and_boolean_functions,concept_pos,betweenness,30,5
Simplicial_complexes_and_boolean_functions,concept_pos,betweenness,2,5
