name,l_b,n_b
Approximation_Algorithms,3,21
Approximation_Algorithms,4,18
Approximation_Algorithms,5,9
Approximation_Algorithms,6,4
Approximation_Algorithms,7,3
Approximation_Algorithms,8,2
Architectural_Design_Patterns,1,584
Architectural_Design_Patterns,2,248
Architectural_Design_Patterns,3,25
Architectural_Design_Patterns,4,22
Architectural_Design_Patterns,5,12
Architectural_Design_Patterns,6,10
Architectural_Design_Patterns,7,6
Architectural_Design_Patterns,8,3
Architectural_Design_Patterns,9,3
Architectural_Design_Patterns,10,2
Architectural_Design_Patterns,11,2
Architectural_Design_Patterns,12,2
Aristotles_Assertoric_Syllogistic,1,41
Aristotles_Assertoric_Syllogistic,2,18
Aristotles_Assertoric_Syllogistic,3,5
Aristotles_Assertoric_Syllogistic,4,5
Arith_Prog_Rel_Primes,1,4
Arith_Prog_Rel_Primes,2,2
Arith_Prog_Rel_Primes,3,2
ArrowImpossibilityGS,1,171
ArrowImpossibilityGS,2,56
ArrowImpossibilityGS,3,3
ArrowImpossibilityGS,4,2
Attack_Trees,1,1576
Attack_Trees,2,1096
Attack_Trees,3,73
Attack_Trees,4,48
Attack_Trees,5,28
Attack_Trees,6,22
Attack_Trees,7,8
Attack_Trees,8,7
Attack_Trees,9,5
Attack_Trees,10,4
Attack_Trees,11,2
Auto2_HOL,1,296
Auto2_HOL,2,101
Auto2_HOL,3,24
Auto2_HOL,4,13
Auto2_HOL,5,3
Auto2_Imperative_HOL,1,9843
Auto2_Imperative_HOL,2,7785
Auto2_Imperative_HOL,3,454
Auto2_Imperative_HOL,4,294
Auto2_Imperative_HOL,5,245
Auto2_Imperative_HOL,6,111
Auto2_Imperative_HOL,7,62
Auto2_Imperative_HOL,8,48
Auto2_Imperative_HOL,9,43
Auto2_Imperative_HOL,10,26
Auto2_Imperative_HOL,11,10
Auto2_Imperative_HOL,12,9
Auto2_Imperative_HOL,13,4
Auto2_Imperative_HOL,14,3
Auto2_Imperative_HOL,15,3
Auto2_Imperative_HOL,16,2
AutoFocus-Stream,1,1444
AutoFocus-Stream,2,1014
AutoFocus-Stream,3,43
AutoFocus-Stream,4,35
AutoFocus-Stream,5,21
AutoFocus-Stream,6,15
AutoFocus-Stream,7,7
AutoFocus-Stream,8,6
AutoFocus-Stream,9,3
AutoFocus-Stream,10,2
AutoFocus-Stream,11,2
AutoFocus-Stream,12,2
Automatic_Refinement,1,1959
Automatic_Refinement,2,565
Automatic_Refinement,3,93
Automatic_Refinement,4,78
Automatic_Refinement,5,42
Automatic_Refinement,6,32
Automatic_Refinement,7,16
Automatic_Refinement,8,13
Automatic_Refinement,9,6
Automatic_Refinement,10,4
Automatic_Refinement,11,3
Automatic_Refinement,12,3
Automatic_Refinement,13,3
Automatic_Refinement,14,2
AxiomaticCategoryTheory,1,282
AxiomaticCategoryTheory,2,193
AxiomaticCategoryTheory,3,15
AxiomaticCategoryTheory,4,12
AxiomaticCategoryTheory,5,3
AxiomaticCategoryTheory,6,2
BDD,1,1485
BDD,2,1104
BDD,3,48
BDD,4,36
BDD,5,19
BDD,6,15
BDD,7,12
BDD,8,11
BDD,9,8
BDD,10,8
BDD,11,3
BDD,12,3
BDD,13,2
BDD,14,2
BD_Security_Compositional,1,4857
BD_Security_Compositional,2,3809
BD_Security_Compositional,3,163
BD_Security_Compositional,4,122
BD_Security_Compositional,5,71
BD_Security_Compositional,6,61
BD_Security_Compositional,7,30
BD_Security_Compositional,8,26
BD_Security_Compositional,9,18
BD_Security_Compositional,10,14
BD_Security_Compositional,11,9
BD_Security_Compositional,12,7
BD_Security_Compositional,13,4
BD_Security_Compositional,14,4
BD_Security_Compositional,15,3
BD_Security_Compositional,16,2
BD_Security_Compositional,17,2
BNF_CC,1,2158
BNF_CC,2,1416
BNF_CC,3,87
BNF_CC,4,58
BNF_CC,5,30
BNF_CC,6,18
BNF_CC,7,9
BNF_CC,8,8
BNF_CC,9,6
BNF_CC,10,5
BNF_CC,11,4
BNF_CC,12,3
BNF_CC,13,2
BNF_CC,14,2
BNF_CC,15,2
BNF_Operations,1,5948
BNF_Operations,2,2314
BNF_Operations,3,45
BNF_Operations,4,25
BNF_Operations,5,9
BNF_Operations,6,5
BNF_Operations,7,3
BNF_Operations,8,2
BNF_Operations,9,2
BTree,1,2459
BTree,2,1737
BTree,3,47
BTree,4,40
BTree,5,16
BTree,6,9
BTree,7,3
BTree,8,3
BTree,9,2
BTree,10,2
Banach_Steinhaus,1,23
Banach_Steinhaus,2,13
Banach_Steinhaus,3,7
Banach_Steinhaus,4,6
Banach_Steinhaus,5,6
Banach_Steinhaus,6,4
Banach_Steinhaus,7,3
Banach_Steinhaus,8,2
Belief_Revision,1,357
Belief_Revision,2,235
Belief_Revision,3,44
Belief_Revision,4,31
Belief_Revision,5,16
Belief_Revision,6,9
Belief_Revision,7,4
Belief_Revision,8,3
Bell_Numbers_Spivey,1,23
Bell_Numbers_Spivey,2,13
Bell_Numbers_Spivey,3,5
Bell_Numbers_Spivey,4,3
Bell_Numbers_Spivey,5,2
BenOr_Kozen_Reif,1,1901
BenOr_Kozen_Reif,2,1312
BenOr_Kozen_Reif,3,250
BenOr_Kozen_Reif,4,141
BenOr_Kozen_Reif,5,80
BenOr_Kozen_Reif,6,52
BenOr_Kozen_Reif,7,28
BenOr_Kozen_Reif,8,20
BenOr_Kozen_Reif,9,12
BenOr_Kozen_Reif,10,9
BenOr_Kozen_Reif,11,6
BenOr_Kozen_Reif,12,6
BenOr_Kozen_Reif,13,4
BenOr_Kozen_Reif,14,3
BenOr_Kozen_Reif,15,2
BenOr_Kozen_Reif,16,2
BenOr_Kozen_Reif,17,2
BenOr_Kozen_Reif,18,2
Berlekamp_Zassenhaus,1,5652
Berlekamp_Zassenhaus,2,4344
Berlekamp_Zassenhaus,3,814
Berlekamp_Zassenhaus,4,478
Berlekamp_Zassenhaus,5,256
Berlekamp_Zassenhaus,6,245
Berlekamp_Zassenhaus,7,96
Berlekamp_Zassenhaus,8,68
Berlekamp_Zassenhaus,9,59
Berlekamp_Zassenhaus,10,43
Berlekamp_Zassenhaus,11,26
Berlekamp_Zassenhaus,12,30
Berlekamp_Zassenhaus,13,18
Berlekamp_Zassenhaus,14,14
Berlekamp_Zassenhaus,15,11
Berlekamp_Zassenhaus,16,9
Berlekamp_Zassenhaus,17,6
Berlekamp_Zassenhaus,18,5
Berlekamp_Zassenhaus,19,3
Berlekamp_Zassenhaus,20,3
Berlekamp_Zassenhaus,21,3
Berlekamp_Zassenhaus,22,3
Berlekamp_Zassenhaus,23,3
Berlekamp_Zassenhaus,24,2
Bernoulli,1,450
Bernoulli,2,290
Bernoulli,3,71
Bernoulli,4,42
Bernoulli,5,25
Bernoulli,6,17
Bernoulli,7,10
Bernoulli,8,8
Bernoulli,9,7
Bernoulli,10,6
Bernoulli,11,4
Bernoulli,12,4
Bernoulli,13,2
Bernoulli,14,2
Bertrands_Postulate,1,121
Bertrands_Postulate,2,70
Bertrands_Postulate,3,26
Bertrands_Postulate,4,17
Bertrands_Postulate,5,10
Bertrands_Postulate,6,7
Bertrands_Postulate,7,4
Bertrands_Postulate,8,3
Bertrands_Postulate,9,3
Bertrands_Postulate,10,2
BinarySearchTree,1,649
BinarySearchTree,2,263
BinarySearchTree,3,8
BinarySearchTree,4,6
BinarySearchTree,5,3
BinarySearchTree,6,2
Binding_Syntax_Theory,1,8348
Binding_Syntax_Theory,2,6176
Binding_Syntax_Theory,3,157
Binding_Syntax_Theory,4,103
Binding_Syntax_Theory,5,56
Binding_Syntax_Theory,6,39
Binding_Syntax_Theory,7,24
Binding_Syntax_Theory,8,17
Binding_Syntax_Theory,9,18
Binding_Syntax_Theory,10,13
Binding_Syntax_Theory,11,6
Binding_Syntax_Theory,12,4
Binding_Syntax_Theory,13,2
Binomial-Heaps,1,5126
Binomial-Heaps,2,2556
Binomial-Heaps,3,37
Binomial-Heaps,4,30
Binomial-Heaps,5,22
Binomial-Heaps,6,18
Binomial-Heaps,7,8
Binomial-Heaps,8,7
Binomial-Heaps,9,9
Binomial-Heaps,10,6
Binomial-Heaps,11,2
Binomial-Heaps,12,2
Binomial-Heaps,13,2
Binomial-Heaps,14,2
Binomial-Queues,1,891
Binomial-Queues,2,592
Binomial-Queues,3,24
Binomial-Queues,4,20
Binomial-Queues,5,17
Binomial-Queues,6,14
Binomial-Queues,7,6
Binomial-Queues,8,4
Binomial-Queues,9,3
Binomial-Queues,10,2
Binomial-Queues,11,2
BirdKMP,1,1247
BirdKMP,2,833
BirdKMP,3,29
BirdKMP,4,21
BirdKMP,5,10
BirdKMP,6,7
BirdKMP,7,5
BirdKMP,8,2
Blue_Eyes,1,73
Blue_Eyes,2,46
Blue_Eyes,3,12
Blue_Eyes,4,6
Blue_Eyes,5,5
Blue_Eyes,6,3
Bondy,1,2
Boolean_Expression_Checkers,1,1897
Boolean_Expression_Checkers,2,1419
Boolean_Expression_Checkers,3,31
Boolean_Expression_Checkers,4,26
Boolean_Expression_Checkers,5,16
Boolean_Expression_Checkers,6,15
Boolean_Expression_Checkers,7,5
Boolean_Expression_Checkers,8,4
Boolean_Expression_Checkers,9,3
Boolean_Expression_Checkers,10,3
Boolean_Expression_Checkers,11,3
Boolean_Expression_Checkers,12,3
Bounded_Deducibility_Security,1,1218
Bounded_Deducibility_Security,2,773
Bounded_Deducibility_Security,3,101
Bounded_Deducibility_Security,4,68
Bounded_Deducibility_Security,5,39
Bounded_Deducibility_Security,6,26
Bounded_Deducibility_Security,7,15
Bounded_Deducibility_Security,8,11
Bounded_Deducibility_Security,9,7
Bounded_Deducibility_Security,10,5
Bounded_Deducibility_Security,11,4
Bounded_Deducibility_Security,12,3
Bounded_Deducibility_Security,13,2
Buchi_Complementation,1,1020
Buchi_Complementation,2,415
Buchi_Complementation,3,75
Buchi_Complementation,4,49
Buchi_Complementation,5,28
Buchi_Complementation,6,20
Buchi_Complementation,7,14
Buchi_Complementation,8,12
Buchi_Complementation,9,8
Buchi_Complementation,10,5
Buchi_Complementation,11,5
Buchi_Complementation,12,5
Buchi_Complementation,13,4
Buchi_Complementation,14,3
Buchi_Complementation,15,2
Budan_Fourier,1,207
Budan_Fourier,2,126
Budan_Fourier,3,36
Budan_Fourier,4,23
Budan_Fourier,5,10
Budan_Fourier,6,6
Budan_Fourier,7,4
Budan_Fourier,8,3
Budan_Fourier,9,2
Budan_Fourier,10,2
Buffons_Needle,1,45
Buffons_Needle,2,25
Buffons_Needle,3,7
Buffons_Needle,4,6
Buffons_Needle,5,3
Buffons_Needle,6,2
Buffons_Needle,7,2
Buildings,1,2951
Buildings,2,2078
Buildings,3,341
Buildings,4,227
Buildings,5,115
Buildings,6,62
Buildings,7,37
Buildings,8,20
Buildings,9,12
Buildings,10,7
Buildings,11,5
Buildings,12,3
Buildings,13,2
BytecodeLogicJmlTypes,1,2902
BytecodeLogicJmlTypes,2,2251
BytecodeLogicJmlTypes,3,50
BytecodeLogicJmlTypes,4,30
BytecodeLogicJmlTypes,5,18
BytecodeLogicJmlTypes,6,12
BytecodeLogicJmlTypes,7,5
BytecodeLogicJmlTypes,8,3
C2KA_DistributedSystems,1,329
C2KA_DistributedSystems,2,202
C2KA_DistributedSystems,3,28
C2KA_DistributedSystems,4,17
C2KA_DistributedSystems,5,12
C2KA_DistributedSystems,6,6
C2KA_DistributedSystems,7,3
C2KA_DistributedSystems,8,3
C2KA_DistributedSystems,9,3
C2KA_DistributedSystems,10,3
C2KA_DistributedSystems,11,2
C2KA_DistributedSystems,12,2
C2KA_DistributedSystems,13,2
CAVA_Automata,1,3316
CAVA_Automata,2,2498
CAVA_Automata,3,105
CAVA_Automata,4,66
CAVA_Automata,5,31
CAVA_Automata,6,19
CAVA_Automata,7,13
CAVA_Automata,8,9
CAVA_Automata,9,7
CAVA_Automata,10,5
CAVA_Automata,11,4
CAVA_Automata,12,4
CAVA_Automata,13,2
CAVA_Automata,14,2
CAVA_Automata,15,2
CAVA_LTL_Modelchecker,1,10849
CAVA_LTL_Modelchecker,2,8637
CAVA_LTL_Modelchecker,3,440
CAVA_LTL_Modelchecker,4,342
CAVA_LTL_Modelchecker,5,198
CAVA_LTL_Modelchecker,6,111
CAVA_LTL_Modelchecker,7,58
CAVA_LTL_Modelchecker,8,40
CAVA_LTL_Modelchecker,9,29
CAVA_LTL_Modelchecker,10,22
CAVA_LTL_Modelchecker,11,17
CAVA_LTL_Modelchecker,12,10
CAVA_LTL_Modelchecker,13,8
CAVA_LTL_Modelchecker,14,6
CAVA_LTL_Modelchecker,15,5
CAVA_LTL_Modelchecker,16,3
CAVA_LTL_Modelchecker,17,4
CAVA_LTL_Modelchecker,18,3
CAVA_LTL_Modelchecker,19,3
CAVA_LTL_Modelchecker,20,2
CCS,1,1598
CCS,2,1116
CCS,3,43
CCS,4,30
CCS,5,21
CCS,6,16
CCS,7,5
CCS,8,3
CCS,9,2
CISC-Kernel,1,2862
CISC-Kernel,2,2151
CISC-Kernel,3,158
CISC-Kernel,4,113
CISC-Kernel,5,54
CISC-Kernel,6,39
CISC-Kernel,7,14
CISC-Kernel,8,13
CISC-Kernel,9,9
CISC-Kernel,10,7
CISC-Kernel,11,2
CISC-Kernel,12,2
CISC-Kernel,13,2
CRDT,1,2110
CRDT,2,1610
CRDT,3,101
CRDT,4,61
CRDT,5,38
CRDT,6,25
CRDT,7,19
CRDT,8,12
CRDT,9,10
CRDT,10,8
CRDT,11,5
CRDT,12,4
CRDT,13,3
CRDT,14,2
CRDT,15,2
CRDT,16,2
CSP_RefTK,1,601
CSP_RefTK,2,385
CSP_RefTK,3,49
CSP_RefTK,4,34
CSP_RefTK,5,15
CSP_RefTK,6,9
CSP_RefTK,7,6
CSP_RefTK,8,4
CSP_RefTK,9,2
CSP_RefTK,10,2
CYK,1,587
CYK,2,398
CYK,3,29
CYK,4,20
CYK,5,12
CYK,6,9
CYK,7,4
CYK,8,4
CYK,9,3
CYK,10,3
CYK,11,2
CZH_Elementary_Categories,1,4902
CZH_Elementary_Categories,2,3673
CZH_Elementary_Categories,3,432
CZH_Elementary_Categories,4,248
CZH_Elementary_Categories,5,93
CZH_Elementary_Categories,6,44
CZH_Elementary_Categories,7,16
CZH_Elementary_Categories,8,8
CZH_Elementary_Categories,9,5
CZH_Elementary_Categories,10,2
CZH_Foundations,1,7328
CZH_Foundations,2,5548
CZH_Foundations,3,508
CZH_Foundations,4,308
CZH_Foundations,5,112
CZH_Foundations,6,63
CZH_Foundations,7,28
CZH_Foundations,8,18
CZH_Foundations,9,8
CZH_Foundations,10,4
CZH_Foundations,11,2
CZH_Foundations,12,3
CZH_Foundations,13,3
CZH_Foundations,14,2
CZH_Universal_Constructions,1,1379
CZH_Universal_Constructions,2,999
CZH_Universal_Constructions,3,159
CZH_Universal_Constructions,4,123
CZH_Universal_Constructions,5,58
CZH_Universal_Constructions,6,32
CZH_Universal_Constructions,7,15
CZH_Universal_Constructions,8,10
CZH_Universal_Constructions,9,8
CZH_Universal_Constructions,10,4
CZH_Universal_Constructions,11,2
CZH_Universal_Constructions,12,2
CakeML,1,6436
CakeML,2,4084
CakeML,3,351
CakeML,4,248
CakeML,5,134
CakeML,6,85
CakeML,7,50
CakeML,8,42
CakeML,9,27
CakeML,10,22
CakeML,11,18
CakeML,12,17
CakeML,13,13
CakeML,14,14
CakeML,15,14
CakeML,16,9
CakeML,17,8
CakeML,18,6
CakeML,19,4
CakeML,20,5
CakeML,21,4
CakeML,22,3
CakeML,23,3
CakeML,24,2
CakeML,25,2
CakeML,26,2
CakeML,27,2
CakeML,28,2
Call_Arity,1,3942
Call_Arity,2,3001
Call_Arity,3,179
Call_Arity,4,115
Call_Arity,5,50
Call_Arity,6,28
Call_Arity,7,14
Call_Arity,8,11
Call_Arity,9,9
Call_Arity,10,6
Call_Arity,11,4
Call_Arity,12,2
Call_Arity,13,2
Call_Arity,14,2
Call_Arity,15,2
Card_Equiv_Relations,1,22
Card_Equiv_Relations,2,12
Card_Equiv_Relations,3,7
Card_Equiv_Relations,4,5
Card_Equiv_Relations,5,3
Card_Equiv_Relations,6,2
Card_Equiv_Relations,7,2
Card_Equiv_Relations,8,2
Card_Multisets,1,19
Card_Multisets,2,10
Card_Multisets,3,3
Card_Multisets,4,2
Card_Multisets,5,2
Card_Multisets,6,2
Card_Number_Partitions,1,88
Card_Number_Partitions,2,58
Card_Number_Partitions,3,12
Card_Number_Partitions,4,7
Card_Number_Partitions,5,4
Card_Number_Partitions,6,2
Card_Partitions,1,55
Card_Partitions,2,33
Card_Partitions,3,12
Card_Partitions,4,7
Card_Partitions,5,4
Card_Partitions,6,2
Card_Partitions,7,2
Card_Partitions,8,2
Cartan_FP,1,8
Cartan_FP,2,4
Cartan_FP,3,3
Cartan_FP,4,2
Case_Labeling,1,113
Case_Labeling,2,53
Case_Labeling,3,13
Case_Labeling,4,9
Case_Labeling,5,4
Case_Labeling,6,3
Case_Labeling,7,2
Catalan_Numbers,1,287
Catalan_Numbers,2,188
Catalan_Numbers,3,27
Catalan_Numbers,4,18
Catalan_Numbers,5,12
Catalan_Numbers,6,6
Catalan_Numbers,7,5
Catalan_Numbers,8,5
Catalan_Numbers,9,4
Catalan_Numbers,10,3
Catalan_Numbers,11,2
Catalan_Numbers,12,2
Category,1,675
Category,2,462
Category,3,11
Category,4,6
Category,5,3
Category2,1,3126
Category2,2,2252
Category2,3,77
Category2,4,53
Category2,5,22
Category2,6,15
Category2,7,9
Category2,8,8
Category2,9,7
Category2,10,4
Category2,11,3
Category2,12,3
Category2,13,2
Category3,1,4741
Category3,2,3581
Category3,3,419
Category3,4,268
Category3,5,87
Category3,6,51
Category3,7,13
Category3,8,7
Category3,9,4
Category3,10,3
Category3,11,3
Cauchy,1,76
Cauchy,2,32
Cauchy,3,12
Cauchy,4,7
Cauchy,5,3
Cauchy,6,2
Cayley_Hamilton,1,624
Cayley_Hamilton,2,496
Cayley_Hamilton,3,12
Cayley_Hamilton,4,7
Cayley_Hamilton,5,4
Cayley_Hamilton,6,2
Certification_Monads,1,1111
Certification_Monads,2,437
Certification_Monads,3,133
Certification_Monads,4,77
Certification_Monads,5,48
Certification_Monads,6,26
Certification_Monads,7,19
Certification_Monads,8,16
Certification_Monads,9,9
Certification_Monads,10,7
Certification_Monads,11,4
Certification_Monads,12,5
Certification_Monads,13,4
Certification_Monads,14,4
Certification_Monads,15,2
Certification_Monads,16,2
Certification_Monads,17,2
Certification_Monads,18,2
Certification_Monads,19,2
Chandy_Lamport,1,2829
Chandy_Lamport,2,2125
Chandy_Lamport,3,107
Chandy_Lamport,4,73
Chandy_Lamport,5,41
Chandy_Lamport,6,32
Chandy_Lamport,7,12
Chandy_Lamport,8,10
Chandy_Lamport,9,8
Chandy_Lamport,10,7
Chandy_Lamport,11,5
Chandy_Lamport,12,5
Chandy_Lamport,13,4
Chandy_Lamport,14,4
Chord_Segments,1,4
Chord_Segments,2,2
Chord_Segments,3,2
Circus,1,1861
Circus,2,1324
Circus,3,71
Circus,4,54
Circus,5,31
Circus,6,22
Circus,7,12
Circus,8,8
Circus,9,4
Circus,10,3
Circus,11,2
Circus,12,2
Clean,1,3520
Clean,2,2669
Clean,3,114
Clean,4,65
Clean,5,36
Clean,6,22
Clean,7,14
Clean,8,11
Clean,9,7
Clean,10,4
Clean,11,2
ClockSynchInst,1,82
ClockSynchInst,2,23
ClockSynchInst,3,9
ClockSynchInst,4,4
ClockSynchInst,5,2
Closest_Pair_Points,1,1912
Closest_Pair_Points,2,1380
Closest_Pair_Points,3,398
