"d_l","d_l_lin","score","aggregation","sloc"
,0.0468013721087758,"theory","",0.383320195542028
0.203674154179656,0.225700289802106,"entry","max",0.170304941845654
,,"entry","mean",
0.262301217032912,0.269174633473091,"entry","total",0.249468725397986
,0.150873455556609,"entry","",
