"name","alpha","comp"
"Abortable_Linearizable_Modules",1.86656645481473,-2.4657296443827
"Abs_Int_ITP2012",1.76291336547942,-2.59251386068308
"Abstract_Completeness",1.44926775401584,-12.2756222761309
"Abstract_Soundness",1.57293574336804,-7.38429899466124
"Abstract-Hoare-Logics",1.6639957185789,-0.00558509008057984
"Abstract-Rewriting",1.99709535363428,-3.91284269510688
"Adaptive_State_Counting",1.86759527516132,-0.816830344653701
"ADS_Functor",1.69195642613029,-12.029659960595
"Affine_Arithmetic",2.59240789306845,0.0846267742583375
"Aggregation_Algebras",1.59247238587658,-0.433481848147472
"AI_Planning_Languages_Semantics",2.02496777450525,-0.0299587928338974
"Akra_Bazzi",2.8183505082697,-1.95454794138117
"Algebraic_Numbers",1.97182574443075,-2.5893121989496
"Algebraic_VCs",1.38076096130716,-63.117314222306
"Allen_Calculus",1.79355541356775,0.0210255622738695
"Amicable_Numbers",2.04432375002011,-2.3851348927342
"Amortized_Complexity",2.52261186306918,-0.071803967710875
"AODV",2.61742080505899,-0.175682032360608
"Applicative_Lifting",1.97120220745212,-3.96300503935418
"Approximation_Algorithms",2.60101256112254,-0.146115329457596
"Architectural_Design_Patterns",1.53302813423104,-4.20997120475308
"Aristotles_Assertoric_Syllogistic",1.62775805889211,-0.246285787032828
"ArrowImpossibilityGS",1.91323880631013,-0.0552062159318887
"Attack_Trees",1.94291189263806,-2.93631144626285
"Auto2_HOL",1.49610194218065,-1.88418068895184
"Auto2_Imperative_HOL",1.88673282404996,-3.26112577224949
"AutoFocus-Stream",1.82642902117467,-1.49111385834246
"Automated_Stateful_Protocol_Verification",1.18937691481828,40.7955441386858
"Automatic_Refinement",2.58346750314823,0.0370133304797089
"AVL-Trees",1.68961904354812,-7.13009902722978
"AWN",1.43317020802437,-77.9467488381772
"AxiomaticCategoryTheory",1.77344202603073,-Inf
"BD_Security_Compositional",3.45092283347861,-0.00170936697630086
"BDD",2.4875217682656,-0.108084695576319
"Belief_Revision",2.54660804159274,-0.0256789660441257
"BenOr_Kozen_Reif",1.82592210751052,-0.00025365836422786
"Berlekamp_Zassenhaus",2.11173872039752,-6.97680103610907
"Bernoulli",1.66545847275885,-5.75354745765345
"Bertrands_Postulate",2.33420473976831,-0.78420897268848
"BinarySearchTree",1.72300199948508,-3.14455681157036
"Binding_Syntax_Theory",1.84624648238109,-4.62438351742541
"Binomial-Heaps",1.91284627988994,-3.15428850675728
"Binomial-Queues",1.77279546716433,-3.31548727646871
"BirdKMP",1.82333402484399,-0.525445075864193
"Blue_Eyes",1.55282623008597,-0.395335688732633
"BNF_CC",1.51873061101322,-23.2566680296131
"BNF_Operations",1.31090945458825,-135.232570247825
"Boolean_Expression_Checkers",1.57902391099117,-5.50522071280843
"Bounded_Deducibility_Security",2.01656888572986,-0.488613368814118
"BTree",1.59502457360389,-1.23058631649312
"Buchi_Complementation",1.65604585271078,-15.6001791618422
"Budan_Fourier",2.29075328606459,-0.810507760565289
"Buildings",1.96750710667867,-2.85181584308229
"BytecodeLogicJmlTypes",1.49855824550526,0.0049139883134921
"C2KA_DistributedSystems",1.45964846123862,-2.43274157668253
"CakeML",1.90567583577833,0.75782799691803
"CakeML_Codegen",2.10924590420121,-0.129139438337385
"Call_Arity",2.04386843691179,-0.428824748928259
"Card_Number_Partitions",1.72131845771432,-0.173198415258938
"Case_Labeling",2.63168943926045,-0.035745466905251
"Catalan_Numbers",1.76153131727788,-1.24678968405537
"Category",1.88242004079106,-1.47030656559422
"Category2",1.78352523866082,-4.61420713237646
"Category3",1.8949865601938,-10.0632276826605
"Cauchy",1.84097977231949,-1.50967670337427
"CAVA_Automata",3.49955769467228,-Inf
"CAVA_LTL_Modelchecker",1.72364391048648,-25.085976099044
"Cayley_Hamilton",1.56507387538688,-Inf
"CCS",1.84919783590462,-0.100100260279877
"Certification_Monads",1.51133784058333,-15.5501529918465
"Chandy_Lamport",1.47706810407081,-5.69692171087561
"Circus",2.7142034484131,-0.0217977263320237
"CISC-Kernel",2.27234758442164,-0.614148207989441
"Clean",1.68778740908489,-3.52183807780547
"ClockSynchInst",1.52789960252148,-5.2803088724935
"Closest_Pair_Points",2.55736180598273,-0.742053988216707
"CoCon",1.33322699612005,-83.7694485654841
"CofGroups",1.51001512777114,-2.85746686482389
"Coinductive",1.85409956983136,-2.86949320684189
"Coinductive_Languages",1.93280597661445,-3.9378094858603
"Collections",1.57861875130241,-73.3451749462066
"Combinatorics_Words",2.12936979643058,-3.90274875607918
"Combinatorics_Words_Graph_Lemma",2.10180168981636,-0.0187453826542594
"Combinatorics_Words_Lyndon",1.90137442051103,-1.13984022155501
"Comparison_Sort_Lower_Bound",1.4535315698644,-1.38767487821865
"Compiling-Exceptions-Correctly",1.37217793713011,-9.49554369099793
"Complete_Non_Orders",1.6314711488149,-2.93326702064259
"Completeness",2.18640029594317,-6.27038845636217
"Complex_Bounded_Operators",1.84633480952447,-0.406541451597133
"Complex_Geometry",1.97791723046558,-4.10057963194189
"Complx",1.43611767995581,-30.7631344093674
"ComponentDependencies",1.10618090731299,-95.4906864860475
"Concurrent_Ref_Alg",2.68617076531378,-Inf
"Concurrent_Revisions",1.39894351001362,-7.74658922289401
"ConcurrentGC",1.93882861367954,-0.0710261208368466
"ConcurrentIMP",1.48152252580995,-32.2396250849242
"Conditional_Transfer_Rule",1.98884543377826,-1.12420017063042
"Consensus_Refined",1.85515614969661,-6.00875761184332
"Constructive_Cryptography",1.46635809375838,-35.0321710976016
"Constructive_Cryptography_CM",1.89973508778333,-4.31020979577181
"Constructor_Funs",1.60321468571198,-3.52268288000476
"Containers",2.02507255969257,-5.84929109613258
"Core_DOM",1.77782753520028,-1.71821954133861
"Core_SC_DOM",1.78115115121482,-1.27776023449409
"CoreC++",1.80459920181958,0.110962967776059
"Correctness_Algebras",1.55137070912799,-0.426458855129802
"CoSMed",1.72589907396396,-7.67552792746501
"CoSMeDis",1.45617237894171,-6.19159854305309
"Count_Complex_Roots",2.05759266989725,-9.7302300938358
"CRDT",1.66422689838105,-6.15967848685871
"CryptHOL",1.78556866842436,-3.36699355734241
"CryptoBasedCompositionalProperties",1.5621327421567,-8.9016520403337
"CSP_RefTK",2.08703360601026,-0.186905905213964
"Cubic_Quartic_Equations",4.22700315326632,-0.38947109649856
"CYK",1.77430866401494,-0.245272563555394
"CZH_Elementary_Categories",2.36932909567017,-0.114949834530698
"CZH_Foundations",1.80523326222018,-1.15635175511497
"CZH_Universal_Constructions",2.26440300608928,-3.31529797716919
"DataRefinementIBP",1.93506548915854,-1.94336806928231
"Datatype_Order_Generator",1.56094124007106,-9.98158748291367
"Decl_Sem_Fun_PL",2.32141582856103,-3.11029377966347
"Decreasing-Diagrams",2.31641642530055,-2.24604002852992
"Decreasing-Diagrams-II",1.64616270833441,-3.94042180086319
"Deep_Learning",1.93682442647452,-0.486165941628606
"Delta_System_Lemma",2.17885265252247,-3.23358951318365
"Density_Compiler",1.48499106405398,-16.6945162267895
"Dependent_SIFUM_Refinement",1.70311831555279,-22.2527457168353
"Dependent_SIFUM_Type_Systems",1.66336867164805,-24.6211555089199
"Depth-First-Search",1.52690481663762,-0.482717381817391
"Derangements",1.91007275879669,-0.230611077656911
"Deriving",1.73373266273668,-8.93355503584436
"Descartes_Sign_Rule",1.87835411163475,-0.180860255281928
"Design_Theory",2.64060466526502,-0.213230634762315
"DFS_Framework",1.83473064863955,-4.17176119584021
"Dict_Construction",4.48460979142931,0.0059629384872899
"Differential_Dynamic_Logic",1.39089243394359,-67.4376886063392
"Differential_Game_Logic",1.4935006819704,-1.14935236691194
"Dijkstra_Shortest_Path",1.9670911593289,-0.94272209568463
"Diophantine_Eqns_Lin_Hom",2.1061079361963,-0.671408057726766
"Dirichlet_L",1.75560136210231,-3.16926307653656
"Dirichlet_Series",2.2086743951195,-0.481592211053327
"Discrete_Summation",1.89190871463667,-1.02785542084597
"DiscretePricing",2.0866945169305,-6.40191078193979
"DiskPaxos",2.26168302944437,-Inf
"DOM_Components",2.23253674477359,-1.18817342709502
"Dominance_CHK",1.57071535645346,-7.63722016288036
"Dynamic_Tables",2.81700737249278,-0.030357482152819
"DynamicArchitectures",2.1406359311019,-0.583603319242028
"Echelon_Form",3.09089137227958,0.00343161627949051
"EdmondsKarp_Maxflow",3.08969535985181,-0.353797115779739
"Efficient-Mergesort",3.09764257165101,-1.01313754197876
"Elliptic_Curves_Group_Law",1.90366298061815,-0.789800424747007
"Encodability_Process_Calculi",1.96350959214231,-0.779753280493699
"Epistemic_Logic",1.60211154746032,-0.484280556867366
"Ergodic_Theory",2.35121913080287,-0.340806200974954
