"in_degree","out_degree","eigenvector","closeness","clustering","betweenness","score","granularity","nodes"
0.210406433018125,0.210406433018125,-0.251688576083536,-0.200253689312338,0.153761775919841,0.252059866076223,"mean","entry","entity"
0.262197310687761,0.262197310687761,0.209595132572017,0.232499253308885,0.284875233350025,0.276617317155656,"total","entry","entity"
0.242099375371401,0.273408097317065,-0.173859081811971,,0.193694842664976,0.284012752799239,"max","entry","entity"
0.201404292377563,0.201404292377563,-0.28908141414669,-0.152268241285512,,0.253800122587943,"mean","entry","position"
0.262220640245302,0.262220640245302,,0.25024254817293,0.23284078237383,0.277358585741525,"total","entry","position"
0.251318096335039,0.254433184981737,,,0.116112510182589,0.281796188868923,"max","entry","position"
0.0784353471755854,0.145887287144192,0.0632305819300207,0.0692763097140974,0.0825960109004653,0.232516134555225,"mean","theory","entity"
0.149787054692307,0.194589871157315,0.0718741822522625,0.143568312494782,0.180169583428102,0.247071083469345,"total","theory","entity"
0.116372950169674,0.230414155281336,0.0699279029928029,0.0934010332520745,0.131191508363944,0.235919178224087,"max","theory","entity"
,0.0749271334896816,,0.0541766278800725,0.052856654588535,0.237603435232057,"mean","theory","position"
0.149747045121881,0.194549967263544,0.0401368218936486,0.18730534987912,0.26868746970839,0.29882606447582,"total","theory","position"
0.112008188462197,0.1336487145137,0.0394296101862701,0.109927872755334,0.121372562578958,0.269262331188744,"max","theory","position"
0.149747045121881,0.194549967263544,0.0634213084206909,0.0613185758173829,,0.155444284434438,"","theory","theory"
0.0444679751021671,-0.0472555808208285,0.155620823479384,0.0674675055201771,0.0473443812247419,0.0536106267261414,"","entity","entity"
-0.0355071618539553,0.0298076232044481,-0.0805570680831595,-0.0123678607900773,0.0215665534989579,0.0698897068187418,"","position","position"
